facility,address,date,violations,total_critical_violations,total_crit_not_corrected,total_noncritical_violations,description,local_health_department,county,facility_address,city,zip_code,nysdoh_gazetteer_1980,municipality,operation_name,permit_expiration_date,permitted_d_b_a,permitted_corp_name,perm_operator_last_name,perm_operator_first_name,nys_health_operation_id,inspection_type,inspection_comments,food_service_facility_state,location1
LOURDES MEXICAN GRILL,"98-100 SOUTH  STREET,  OYSTER BAY",2025-10-09,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,2.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,98-100 SOUTH  STREET,OYSTER BAY,11771,295212,OYSTER BAY,LOURDES MEXICAN GRILL,2026-11-30T00:00:00.000,,LOURDES PLACE INC,,,790597,Re-Inspection,,NY,"(40.872554, -73.530569)"
FINN'S DELICATESSEN AND CATERERS,"4646 MERRICK ROAD,  MASSAPEQUA",2025-10-17,No violations found.,0.0,0.0,0.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,4646 MERRICK ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,FINN'S DELICATESSEN AND CATERERS,2026-06-30T00:00:00.000,,DIDDYMOORE CORP,,,783664,Re-Inspection,No violations were noted,NY,"(40.666295, -73.46309)"
CHINA STAR,"182 HEMPSTEAD AVENUE,  LYNBROOK",2025-07-10,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,182 HEMPSTEAD AVENUE,LYNBROOK,115631609,290700,HEMPSTEAD,CHINA STAR,2026-06-30T00:00:00.000,,CHINA STAR GOURMET FOOD INC,,,805802,Inspection,There was no violation at the time of inspection.|Grade: A|Seats: 2|Permit: F0117161; exp: 6/30/2026|FMTC: XU; no. 46023; exp: 8/31/2026,NY,"(40.663325, -73.670562)"
CARVEL,"4246 HICKSVILLE ROAD,  BETHPAGE",2025-10-31,No violations found.,0.0,0.0,0.0,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,4246 HICKSVILLE ROAD,BETHPAGE,11714,295201,OYSTER BAY,CARVEL,2027-03-31T00:00:00.000,,PB&J ICE CREAM LLC,,,768886,Inspection,No violations,NY,"(40.716907, -73.48363)"
NASSAU BOCES ELEMENTARY PROGRAM,"2351 JERUSALEM  AVENUE,  NORTH BELLMORE",2025-02-26,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,2351 JERUSALEM  AVENUE,NORTH BELLMORE,11710,299900,NASSAU SCHOOLS,NASSAU BOCES ELEMENTARY PROGRAM,2026-12-31T00:00:00.000,,BOCES NASSAU COUNTY,,,570449,Inspection,"Score: 0/0 “A”|Permit Expires: December 31, 2025.",NY,"(40.691211, -73.542707)"
BAKER HILL TAVERN,"630 MIDDLE NECK  ROAD,  GREAT NECK",2026-03-26,Item 11D-   Non food contact surfaces of equipment not clean;,0.0,0.0,1.0,Food Service Establishment - Tavern,Nassau  County,NASSAU,630 MIDDLE NECK  ROAD,GREAT NECK,11023,291300,N. HEMPSTEAD,BAKER HILL TAVERN,2027-06-30T00:00:00.000,BAKER HILL TAVERN,KENBAR INC.,,,574702,Inspection,"Score:  0/1 “A”|Permit June 30, 2027|Seating Count 20|Serving pizzas and hot dogs",NY,"(40.803661, -73.735855)"
DUNKIN DONUTS,"3267 SUNRISE HIGHWAY,  WANTAGH",2026-02-02,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,3267 SUNRISE HIGHWAY,WANTAGH,11793,295050,HEMPSTEAD,DUNKIN DONUTS,2027-02-28T00:00:00.000,DUNKIN DONUTS,F K B DONUTS INC,,,573434,Inspection,Score “A”|FMTC S.K no.1136693906 exp 4/28|Permit exp 11/26|24 seats,NY,"(40.67207, -73.508905)"
CHILDREN'S EDUCATION CENTER,"189 WHEATLEY  ROAD,  BROOKVILLE",2023-05-12,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,189 WHEATLEY  ROAD,BROOKVILLE,11545,298700,OYSTER BAY,CHILDREN'S EDUCATION CENTER,2040-12-31T00:00:00.000,CHILDREN'S EDUCATION CENTER,AHRC NASSAU COUNTY,KLOTZ,MARIANNE R,570789,Re-Inspection,ACCEPTABLE FOR LICENSING |All violations corrected,NY,"(40.807964, -73.579956)"
MORE THAN A BAGEL,"1303 BROADWAY,  HEWLETT",2025-06-26,"Item 14A-   Insects, rodents present;",0.0,0.0,1.0,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,1303 BROADWAY,HEWLETT,11557,295020,HEMPSTEAD,MORE THAN A BAGEL,2026-05-31T00:00:00.000,MORE THAN A BAGEL,MORE THAN A BAGEL INC,,,575799,Re-Inspection,,NY,"(40.638603, -73.701039)"
BREW 7,"270 B MERRICK ROAD,  ROCKVILLE CENTRE",2025-01-31,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,270 B MERRICK ROAD,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,BREW 7,2026-07-31T00:00:00.000,,CH GROUP CORP,,,675874,Re-Inspection,,NY,"(40.656131, -73.645564)"
BALDWIN POST #246 AM. LEGION (MHK),"2754 SOUTH GRAND AVENUE,  BALDWIN",2025-12-08,"Item 14A-   Insects, rodents present;",0.0,0.0,1.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,2754 SOUTH GRAND AVENUE,BALDWIN,11510,295002,HEMPSTEAD,BALDWIN POST #246 OF THE AMERICAN LEGION (MHK),2026-12-31T00:00:00.000,,"AMERICAN LEGION POST #246 BALDWIN, INC.",,,570601,Inspection,Score: A|Permit: F0114694 - Expiration date: December 31/2026|Seats: Seating based on events/meetings  (Occupancy : 100) |FMTC: No posted on site.,NY,"(40.64296, -73.612817)"
MOM'S PASTRIES,"517 CENTRAL  AVENUE,  CEDARHURST",2024-09-09,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,517 CENTRAL  AVENUE,CEDARHURST,11516,292900,HEMPSTEAD,MOM'S PASTRIES,2027-02-28T00:00:00.000,,AD PASTERIES INC,,,570631,Re-Inspection,No violation was noted at the time of inspection.,NY,"(40.621831, -73.723462)"
RASCAL HOUSE DAYCARE LIC/REG#343639,"55  FAIRVIEW AVENUE,  OCEANSIDE",2025-04-02,No violations found.,0.0,0.0,0.0,Institutional Food Service - Day Care Center Food Service,Nassau  County,NASSAU,55  FAIRVIEW AVENUE,OCEANSIDE,11572,295040,HEMPSTEAD,RASCAL HOUSE DAYCARE LIC/REG#343639,2040-12-31T00:00:00.000,,"RASCAL HOUSE DAYCARE, CORP.",,,718301,Re-Inspection,“Re-inspection satisfactory for relicensing”,NY,"(40.641162, -73.637952)"
PEPE ROSSO 24,"24 MANORHAVEN BOULEVARD,  MANORHAVEN",2025-05-23,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,24 MANORHAVEN BOULEVARD,MANORHAVEN,110501608,298000,N. HEMPSTEAD,PEPE ROSSO 24,2026-06-30T00:00:00.000,,PEPE ROSSO 24 INC,,,752047,Re-Inspection,No violations noted during reinspection.,NY,"(40.842283, -73.709465)"
LOAFERS,"175 BIRCH HILL  ROAD,  LOCUST VALLEY",2025-02-06,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,5.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,175 BIRCH HILL  ROAD,LOCUST VALLEY,11560,295208,OYSTER BAY,LOAFERS,2026-08-31T00:00:00.000,,"LOAFERS BAKERY,  INC",,,749403,Re-Inspection,,NY,"(40.878559, -73.596795)"
SWEET TOMATO,"91 AUDREY AVENUE,  OYSTER BAY",2025-05-16,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,91 AUDREY AVENUE,OYSTER BAY,117711505,295212,OYSTER BAY,SWEET TOMATO,2026-07-31T00:00:00.000,,SWEET TOMATO BY THE BAY INC,,,784069,Re-Inspection,,NY,"(40.874182, -73.532618)"
TAQUERIA EL RINCONCITO MEXICANO,"259 SHERIDAN BOULEVARD,  INWOOD",2025-08-25,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,3.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,259 SHERIDAN BOULEVARD,INWOOD,110961225,295022,HEMPSTEAD,TAQUERIA EL RINCONCITO MEXICANO,2026-07-31T00:00:00.000,,TAQUERIA EL RINCONCITO MEXCIANO INC,,,785400,Re-Inspection,,NY,"(40.618212, -73.750983)"
HEWLETT SD - WOODMERE MIDDLE SCHOOL,"1170 PENINSULA BOULEVARD,  HEWLETT",2024-11-15,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,1170 PENINSULA BOULEVARD,HEWLETT,11557,299900,NASSAU SCHOOLS,HEWLETT-WOODMERE UFSD - WOODMERE MIDDLE SCHOOL,2027-04-30T00:00:00.000,,HEWLETT WOODMERE UFSD,ROSENTHAL,MICHELLE,573646,Inspection,"Score: 0/0 “A”|Permit Expires: April 30, 2025|Milk Expiration Date: November 25, 2024.|November 2024 Lunch Menu Attached.",NY,"(40.642331, -73.70831)"
GARDEN CITY POOL,"52 CHERRY VALLEY AVENUE,  GARDEN CITY",2009-07-14,No violations found.,0.0,0.0,0.0,Food Service Establishment - Frozen Desserts,Nassau  County,NASSAU,52 CHERRY VALLEY AVENUE,GARDEN CITY,11530,290500,HEMPSTEAD,GARDEN CITY POOL FD,2026-07-31T00:00:00.000,,,,,572964,Inspection,,NY,"(40.723817, -73.643208)"
STARBUCKS COFFEE #7494,"21 NORTH PARK  AVENUE,  ROCKVILLE CENTRE",2025-11-14,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,21 NORTH PARK  AVENUE,ROCKVILLE CENTRE,11570,290900,HEMPSTEAD,STARBUCKS COFFEE #7494,2026-07-31T00:00:00.000,STARBUCKS COFFEE #7494,STARBUCKS COFFEE COMPANY,,,577131,Inspection,Score “A”|Permit exp 7/26|16 seats,NY,"(40.656964, -73.645103)"
AP DELI,"254 MERRICK  ROAD,  LYNBROOK",2025-08-13,"Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,254 MERRICK  ROAD,LYNBROOK,115632623,290700,HEMPSTEAD,AP DELI,2026-08-31T00:00:00.000,,AP DELI INC.,,,676892,Re-Inspection,,NY,"(40.657606, -73.668728)"
TANG'S GARDEN,"129 SHERIDAN  BOULEVARD,  INWOOD",2025-09-24,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,129 SHERIDAN  BOULEVARD,INWOOD,11096,295022,HEMPSTEAD,TANG'S GARDEN,2027-03-31T00:00:00.000,,,TANG,ZI DONG,569925,Re-Inspection,No violation was noted.,NY,"(40.615039, -73.752607)"
RALPH'S FAMOUS ITALIAN ICES,"850 SOUTH MAIN STREET,  FARMINGDALE",2026-03-23,No violations found.,0.0,0.0,0.0,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,850 SOUTH MAIN STREET,FARMINGDALE,11735,295215,OYSTER BAY,RALPH'S FAMOUS ITALIAN ICES,2026-06-30T00:00:00.000,,ICE CASTLE III INC,,,574157,Inspection,Score “A”|Permit exp 6/26|0 seats,NY,"(40.715647, -73.434584)"
NYIT - RILAND CAFE @ NYCOM BUILDING,"NORTHERN  BOULEVARD,  OLD WESTBURY",2025-01-07,No violations found.,0.0,0.0,0.0,Institutional Food Service - College Food Service,Nassau  County,NASSAU,NORTHERN  BOULEVARD,OLD WESTBURY,11568,299900,NASSAU SCHOOLS,NYIT - RILAND CAFE @ NYCOM BUILDING,2026-10-31T00:00:00.000,,NEW YORK INSTITUTE OF TECHNOLOGY,,,576853,Inspection,permit expires 10/31/25 |Nassau County FMTC R. M. exp. 7/31/26  certificate no. 47150|Nassau County FMTC E.D. exp 7/31/28  certificate no. 1440473312|Rating A,NY,"(40.816621, -73.607378)"
YESHIVA KETANA OF LONG ISLAND,"321 DOUGHTY  BOULEVARD,  INWOOD",2025-08-12,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,321 DOUGHTY  BOULEVARD,INWOOD,110961348,299900,NASSAU SCHOOLS,YESHIVA KETANA OF LONG ISLAND,2026-08-31T00:00:00.000,,YESHIVA KETANA OF LONG ISLAND,,,693687,Re-Inspection,,NY,"(40.620495, -73.746612)"
MESIVTA ATERES YAAKOV,"131 WASHINGTON AVENUE,  LAWRENCE",2025-05-19,No violations found.,0.0,0.0,0.0,Institutional Food Service - School K-12 Food Service,Nassau  County,NASSAU,131 WASHINGTON AVENUE,LAWRENCE,11559,299900,NASSAU SCHOOLS,MESIVTA  ATERES YAAKOV,2025-08-31T00:00:00.000,,MESIVTA ATERES YAAKOV OF GREATER LI,,,751210,Inspection,Kitchen is not being used at this time. School will renovate kitchen January 2026 - updated floor plans and approval from the department must be required prior to renovations.,NY,"(40.61852, -73.72917)"
ADELPHI UNIV MELT SHOP @ REC CENTER,"1 SOUTH AVENUE,  GARDEN CITY",2021-11-08,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,3.0,Institutional Food Service - College Food Service,Nassau  County,NASSAU,1 SOUTH AVENUE,GARDEN CITY,11530,299900,NASSAU SCHOOLS,ADELPHI UNIVERSITY MELT SHOP @ REC CENTER,2026-09-30T00:00:00.000,,"COMPASS GROUP USA, INC.",,,760027,Inspection,"1. No seats, Rating “A”, No Food Service Managers Certification, Risk Medium.",NY,"(40.722855, -73.66359)"
CAFE-Y UNIT @ CAMP COLEMAN,"55 BABYLON TURNPIKE,  FREEPORT",2025-07-10,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,55 BABYLON TURNPIKE,FREEPORT,11520,290400,HEMPSTEAD,CAFE-Y UNIT @ CAMP COLEMAN,2026-05-31T00:00:00.000,,CAFE-Y INCORPORATED,,,795418,Inspection,"0/0 “A”|Permit: exp 05/31/2026|FMTC: H.K. exp 03/31/2026 #48941, C.J. exp 04/30/2026 #42385|Lunch menu: baked ziti, salad bar",NY,"(40.677872, -73.587412)"
STARBUCKS COFFEE #7302,"2015 MERRICK  ROAD,  MERRICK",2025-12-29,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);",0.0,0.0,1.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2015 MERRICK  ROAD,MERRICK,11566,295029,HEMPSTEAD,STARBUCKS COFFEE #7302,2027-03-31T00:00:00.000,STARBUCKS COFFEE #7302,STARBUCKS CORPORATION,,,578413,Inspection,,NY,"(40.658744, -73.544739)"
TULIP BAKERY,"138 TULIP  AVENUE,  FLORAL PARK",2025-02-13,No violations found.,0.0,0.0,0.0,Food Service Establishment - Bakery,Nassau  County,NASSAU,138 TULIP  AVENUE,FLORAL PARK,11001,290301,N. HEMPSTEAD,TULIP BAKERY,2026-09-30T00:00:00.000,,TULIP BAKERY CORP,,,579054,Re-Inspection,No repeat violations noted at time of visit.,NY,"(40.72459, -73.704227)"
CHICKEN AU GO GO,"5364 MERRICK  ROAD,  MASSAPEQUA",2025-07-14,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;",0.0,0.0,2.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,5364 MERRICK  ROAD,MASSAPEQUA,11758,295209,OYSTER BAY,CHICKEN AU GO GO,2026-09-30T00:00:00.000,,GO GO FOODS INC,,,717925,Inspection,Food managers Expires December 2026. Certificate# 46127,NY,"(40.66761, -73.438817)"
FRANK'S TRATTORIA,"1085 WEST BEECH STREET,  LONG BEACH",2025-05-13,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,1085 WEST BEECH STREET,LONG BEACH,11561,290200,LONG BEACH,FRANK'S TRATTORIA,2026-04-30T00:00:00.000,,FRANK'S TRATTORIA INC,,,736932,Re-Inspection,Violations corrected. |Education provided .|TPHC application was given to inspector at the time of the visit.,NY,"(40.586065, -73.700417)"
EBENEZER SVNTH DAY A CHURCH,"97  BROADWAY,  FREEPORT",2025-07-06,No violations found.,0.0,0.0,0.0,Institutional Food Service - Nutrition for the Indigent,Nassau  County,NASSAU,97  BROADWAY,FREEPORT,11520,299900,NASSAU SCHOOLS,EBENEZER SEVENTH DAY ADVENTIST CHURCH,2026-09-30T00:00:00.000,,EBENEZER SEVENTH DAY ADVENTIST CHURCH,,,751211,Inspection,"Score: 0/0 “A”|Permit Expires: September 30, 2025|Non-operational inspection.",NY,"(40.65169, -73.58363)"
THOM THOM RESTAURANT,"3340 PARK AVENUE,  WANTAGH",2026-01-09,"Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,3340 PARK AVENUE,WANTAGH,117933717,295050,HEMPSTEAD,THOM THOM RESTAURANT,2027-01-31T00:00:00.000,,PARK 3340 LLC,,,764297,Re-Inspection,,NY,"(40.673752, -73.509047)"
KING KABAB RESTAURANT,"371 NORTH CENTRAL AVENUE,  VALLEY STREAM",2025-08-11,No violations found.,0.0,0.0,0.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,371 NORTH CENTRAL AVENUE,VALLEY STREAM,11580,291000,HEMPSTEAD,KING KABAB RESTAURANT,2025-07-31T00:00:00.000,,FAJE RESTAURANT CORP,,,783446,Re-Inspection,No violation was noted at the time of inspection.,NY,"(40.677502, -73.709492)"
KFC,"1198 WANTAGH AVENUE,  WANTAGH",2024-12-26,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1198 WANTAGH AVENUE,WANTAGH,11793,295050,HEMPSTEAD,K F C,2026-05-31T00:00:00.000,,KEDIS ENTERPRISES LLC,,,780195,Inspection,45 seats|Permit expires May 2025|Grade A,NY,"(40.693619, -73.507737)"
FREEPORT SD - FREEPORT SENIOR HS,"50 SOUTH BROOKSIDE  AVENUE,  FREEPORT",2023-08-09,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;",0.0,0.0,1.0,SED Summer Feeding Prog. - SED Self Preparation Feeding Site,Nassau  County,NASSAU,50 SOUTH BROOKSIDE  AVENUE,FREEPORT,11520,299900,NASSAU SCHOOLS,Freeport HS Summer Food,,,,,,1052777,Inspection,Serving: Muffins & juice|# of breakfasts: 275-300|# of kids: approx. 1000|Food product thermometer available.|Gloves available.,NY,"(40.65619, -73.60101)"
SONS OF ISRAEL SISTERHOOD KITCHEN,"111 IRVING PLACE,  WOODMERE",2023-01-31,No violations found.,0.0,0.0,0.0,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Nassau  County,NASSAU,111 IRVING PLACE,WOODMERE,11598,295051,HEMPSTEAD,SONS OF ISRAEL SISTERHOOD KITCHEN,2026-11-30T00:00:00.000,,CONGREGATION SONS OF ISRAEL,,,556180,Inspection,"kitchen not used for anything |gas turned off|refrigerators off|after services have refreshments, licensed caterers, sternos",NY,"(40.631946, -73.709266)"
LA PIAZZA,"2191 MERRICK  ROAD,  MERRICK",2025-12-17,"Item 12A-   Hot, cold running water not provided, pressure inadequate;",0.0,0.0,1.0,Food Service Establishment - Restaurant,Nassau  County,NASSAU,2191 MERRICK  ROAD,MERRICK,11566,295029,HEMPSTEAD,LA PIAZZA,2027-01-31T00:00:00.000,LA PIAZZA,ITAL PIZZA CORP,,,574920,Re-Inspection,,NY,"(40.659635, -73.542885)"
STARBUCKS COFFEE #11536,"316 ROCKAWAY TURNPIKE,  CEDARHURST",2025-12-22,No violations found.,0.0,0.0,0.0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,316 ROCKAWAY TURNPIKE,CEDARHURST,11516,292900,HEMPSTEAD,STARBUCKS COFFEE #11536,2026-09-30T00:00:00.000,,STARBUCKS CORPORATION,,,672886,Inspection,Permit expires September 2026|7 Seats|There were no violations at the time of inspection.|Score “A”,NY,"(40.626017, -73.736201)"
